Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Kilmarnock, Scotland, United Kingdom",07/28/2021,16,13.6,15.1,,,71.4,1.4,0,0,17.7,260.5,38.5,22.6,89.6,83.7,"Rain, Overcast"
"Kilmarnock, Scotland, United Kingdom",07/29/2021,17.6,13.6,15.6,,,42.9,1.5,0,0,17.2,268.1,48.2,16.1,88.8,85,Overcast
"Kilmarnock, Scotland, United Kingdom",07/30/2021,18.7,14.5,16.3,,,42.9,2.3,0,0,9.2,298.7,28.1,21.4,89,84.8,Overcast
"Kilmarnock, Scotland, United Kingdom",07/31/2021,17.4,14.8,16.1,,,19,0,0,0,13.2,289.5,32.8,24.1,93.7,80.9,Overcast
"Kilmarnock, Scotland, United Kingdom",08/01/2021,17.5,12.5,15.3,,,19,0.5,0,0,3.8,118.8,16.6,24.1,79.8,73.1,Overcast
"Kilmarnock, Scotland, United Kingdom",08/02/2021,14.3,13.3,13.6,8.2,,23.7,0.1,0,0,6.1,80.2,16.6,24.1,87.8,75.7,Overcast
"Kilmarnock, Scotland, United Kingdom",08/03/2021,16.7,11,13.9,,,47.5,1,0,0,7.1,246.1,15.5,20,94.3,80.7,Overcast
"Kilmarnock, Scotland, United Kingdom",08/04/2021,16,12.5,13.9,,,47.5,5.6,0,0,11.9,227.7,36,8.3,89.8,90.5,Overcast
"Kilmarnock, Scotland, United Kingdom",08/05/2021,16.2,11.7,14,,,52.4,0.23,0,0,9.4,267.9,19.1,24.1,98.3,76.2,"Rain, Overcast"
"Kilmarnock, Scotland, United Kingdom",08/06/2021,16,10.8,13.5,,,42.9,1.27,0,0,13.2,272,24.8,17.3,53.7,80.8,Partially cloudy
"Kilmarnock, Scotland, United Kingdom",08/07/2021,14.9,8.9,11.6,7.4,,52.4,0.9,0,0,14.2,127.2,34.9,21.6,90.6,85.3,"Rain, Overcast"
"Kilmarnock, Scotland, United Kingdom",08/08/2021,15.7,11.2,13.1,,,71.4,1.3,0,0,21.8,279.8,35.6,11.5,11.3,79.6,Rain
"Kilmarnock, Scotland, United Kingdom",08/09/2021,13.9,10.1,11.9,,,66.6,4.2,0,0,20,256,37.4,11.6,44.4,82.7,"Rain, Partially cloudy"
"Kilmarnock, Scotland, United Kingdom",08/10/2021,15.3,9.3,12.2,8.6,,52.4,0.6,0,0,7.9,255.8,13.3,21.7,38.2,77.8,"Rain, Partially cloudy"
"Kilmarnock, Scotland, United Kingdom",08/11/2021,17.7,9,13,8.2,,52.4,1.4,0,0,8.4,270.2,23.8,24.1,50.1,75,"Rain, Partially cloudy"
"Kilmarnock, Scotland, United Kingdom",08/12/2021,16.1,10.1,13.2,,,42.9,0,0,0,12.3,289.2,26.6,24.1,59.8,74,Partially cloudy
